@RELATION air_quality

@ATTRIBUTE pm25 REAL
@ATTRIBUTE pm10 REAL
@ATTRIBUTE o3 REAL
@ATTRIBUTE no2 REAL
@ATTRIBUTE so2 REAL
@ATTRIBUTE quality {good,hazardous,moderate,unhealthy,unhealthy_for_sensitive_groups,very_unhealthy}

@DATA
174, 79, 43, 13, 1, unhealthy
148, 364, 31, 13, 1, hazardous
174, 286, 23, 13, 2, very_unhealthy
140, 77, 26, 8, 1, unhealthy_for_sensitive_groups
94, 79, 21, 15, 1, moderate
119, 127, 25, 18, 2, unhealthy_for_sensitive_groups
166, 68, 26, 11, 1, unhealthy
99, 78, 24, 8, 12, moderate
103, 50, 22, 3, 1, unhealthy_for_sensitive_groups
42, 49, 21, 4, 2, good
192, 39, 22, 6, 1, unhealthy
141, 19, 21, 3, 1, unhealthy_for_sensitive_groups
47, 31, 20, 7, 1, good
58, 51, 17, 14, 2, moderate
104, 66, 18, 20, 3, unhealthy_for_sensitive_groups
126, 48, 25, 14, 1, unhealthy_for_sensitive_groups
97, 50, 21, 14, 4, moderate
111, 46, 24, 12, 3, unhealthy_for_sensitive_groups
77, 34, 24, 10, 2, moderate
63, 45, 21, 14, 2, moderate
75, 92, 18, 25, 4, moderate
165, 83, 20, 24, 4, unhealthy
110, 83, 16, 30, 5, unhealthy_for_sensitive_groups
124, 102, 12, 34, 6, unhealthy_for_sensitive_groups
158, 85, 16, 31, 5, unhealthy
150, 83, 26, 26, 2, unhealthy_for_sensitive_groups
170, 106, 14, 37, 4, unhealthy
177, 60, 20, 16, 3, unhealthy
67, 45, 18, 12, 2, moderate
67, 83, 17, 22, 5, moderate
134, 33, 24, 3, 1, unhealthy_for_sensitive_groups
19, 29, 23, 4, 1, good
31, 28, 22, 4, 2, good
33, 32, 26, 8, 3, good
48, 19, 28, 3, 2, good
37, 21, 49, 6, 3, good
57, 16, 29, 5, 3, moderate
49, 29, 38, 6, 4, good
72, 35, 47, 6, 3, moderate
79, 32, 35, 7, 3, moderate
64, 20, 36, 5, 3, moderate
31, 21, 35, 4, 3, good
53, 13, 32, 6, 3, moderate
34, 13, 27, 4, 3, good
29, 18, 17, 3, 3, good
47, 16, 19, 1, 2, good
65, 37, 44, 2, 3, moderate
75, 34, 54, 2, 3, moderate
63, 21, 30, 2, 3, moderate
53, 17, 24, 2, 3, moderate
43, 19, 32, 1, 4, good
55, 25, 24, 2, 3, moderate
68, 41, 36, 3, 3, moderate
110, 42, 42, 5, 4, unhealthy_for_sensitive_groups
93, 33, 24, 3, 3, moderate
58, 24, 27, 2, 3, moderate
54, 36, 54, 2, 3, moderate
101, 51, 81, 5, 3, unhealthy_for_sensitive_groups
117, 48, 56, 8, 3, unhealthy_for_sensitive_groups
120, 52, 60, 7, 3, unhealthy_for_sensitive_groups
121, 45, 31, 6, 3, unhealthy_for_sensitive_groups
106, 40, 34, 6, 3, unhealthy_for_sensitive_groups
89, 28, 35, 7, 3, moderate
53, 49, 55, 8, 5, moderate
109, 64, 100, 9, 4, unhealthy_for_sensitive_groups
121, 40, 51, 3, 5, unhealthy_for_sensitive_groups
77, 38, 35, 4, 4, moderate
71, 41, 51, 3, 3, moderate
83, 35, 41, 3, 3, moderate
71, 29, 37, 3, 3, moderate
60, 31, 73, 4, 3, moderate
62, 33, 90, 5, 7, moderate
68, 43, 102, 6, 4, unhealthy_for_sensitive_groups
81, 46, 104, 7, 4, unhealthy_for_sensitive_groups
90, 45, 58, 6, 3, moderate
79, 27, 26, 4, 3, moderate
49, 36, 16, 2, 3, good
46, 25, 24, 3, 3, good
41, 28, 44, 2, 3, good
48, 34, 43, 4, 3, good
49, 37, 56, 6, 3, moderate
53, 28, 52, 5, 3, moderate
56, 20, 41, 2, 3, moderate
34, 29, 65, 5, 4, moderate
63, 36, 73, 6, 4, moderate
66, 32, 54, 6, 4, moderate
55, 35, 64, 5, 3, moderate
55, 38, 73, 7, 4, moderate
59, 35, 71, 7, 3, moderate
59, 33, 51, 8, 3, moderate
69, 32, 30, 6, 3, moderate
66, 27, 42, 3, 3, moderate
60, 23, 43, 2, 3, moderate
54, 23, 37, 6, 3, moderate
55, 29, 45, 5, 3, moderate
59, 31, 35, 5, 4, moderate
64, 37, 68, 5, 3, moderate
95, 41, 52, 7, 4, moderate
73, 46, 46, 12, 4, moderate
59, 60, 55, 9, 5, moderate
80, 26, 34, 5, 3, moderate
30, 34, 44, 9, 4, good
45, 24, 36, 7, 3, good
36, 35, 40, 8, 3, good
55, 34, 45, 8, 3, moderate
59, 30, 40, 4, 3, moderate
48, 34, 61, 8, 3, moderate
57, 49, 60, 11, 4, moderate
74, 59, 52, 16, 3, moderate
99, 31, 33, 9, 3, moderate
40, 47, 56, 11, 7, moderate
74, 56, 59, 12, 4, moderate
83, 44, 63, 10, 3, moderate
82, 21, 62, 6, 3, moderate
56, 50, 68, 9, 4, moderate
92, 54, 33, 12, 4, moderate
61, 45, 29, 12, 4, moderate
44, 34, 35, 8, 3, good
42, 26, 38, 8, 3, good
53, 31, 44, 8, 13, moderate
56, 43, 42, 13, 1, moderate
70, 35, 41, 8, 2, moderate
57, 53, 58, 8, 1, moderate
90, 32, 21, 7, 1, moderate
28, 24, 33, 8, 1, good
102, 65, 76, 8, 4, unhealthy_for_sensitive_groups
122, 69, 34, 11, 3, unhealthy_for_sensitive_groups
64, 40, 35, 5, 3, moderate
54, 41, 37, 9, 4, moderate
77, 84, 34, 6, 3, moderate
103, 56, 24, 13, 4, unhealthy_for_sensitive_groups
86, 58, 34, 10, 5, moderate
73, 62, 44, 7, 4, moderate
73, 92, 48, 10, 5, moderate
117, 72, 32, 13, 5, unhealthy_for_sensitive_groups
81, 52, 31, 11, 4, moderate
59, 63, 24, 15, 4, moderate
22, 66, 45, 6, 3, moderate
76, 81, 67, 8, 4, moderate
110, 76, 79, 11, 5, unhealthy_for_sensitive_groups
117, 56, 64, 7, 4, unhealthy_for_sensitive_groups
77, 49, 42, 5, 3, moderate
82, 38, 38, 8, 2, moderate
42, 44, 41, 14, 5, good
87, 62, 40, 22, 6, moderate
105, 68, 73, 17, 5, unhealthy_for_sensitive_groups
112, 80, 41, 17, 4, unhealthy_for_sensitive_groups
72, 58, 53, 10, 4, moderate
78, 67, 77, 8, 4, moderate
120, 49, 58, 12, 3, unhealthy_for_sensitive_groups
99, 42, 41, 12, 3, moderate
74, 35, 45, 8, 3, moderate
56, 44, 36, 10, 4, moderate
52, 52, 54, 8, 4, moderate
73, 55, 65, 8, 4, moderate
90, 39, 50, 7, 3, moderate
87, 74, 67, 19, 5, moderate
120, 50, 41, 15, 5, unhealthy_for_sensitive_groups
60, 61, 36, 21, 6, moderate
93, 45, 44, 5, 3, moderate
58, 32, 44, 5, 3, moderate
70, 29, 53, 6, 3, moderate
71, 55, 75, 7, 3, moderate
114, 58, 50, 7, 4, unhealthy_for_sensitive_groups
94, 35, 30, 7, 4, moderate
74, 28, 38, 6, 4, moderate
70, 38, 27, 11, 3, moderate
91, 46, 33, 14, 4, moderate
56, 45, 27, 15, 4, moderate
68, 28, 29, 10, 3, moderate
55, 35, 40, 14, 3, moderate
53, 16, 44, 8, 2, moderate
52, 74, 44, 8, 3, moderate
84, 81, 84, 9, 4, moderate
137, 62, 63, 11, 4, unhealthy_for_sensitive_groups
101, 47, 50, 9, 4, unhealthy_for_sensitive_groups
70, 39, 56, 7, 3, moderate
78, 58, 54, 6, 3, moderate
127, 48, 51, 8, 2, unhealthy_for_sensitive_groups
103, 42, 51, 15, 4, unhealthy_for_sensitive_groups
66, 35, 55, 17, 4, moderate
69, 34, 55, 8, 3, moderate
56, 28, 50, 6, 3, moderate
59, 31, 53, 6, 3, moderate
64, 43, 61, 6, 3, moderate
86, 31, 49, 3, 3, moderate
74, 46, 68, 4, 3, moderate
109, 48, 81, 5, 3, unhealthy_for_sensitive_groups
106, 37, 62, 6, 2, unhealthy_for_sensitive_groups
90, 47, 41, 11, 3, moderate
103, 43, 46, 10, 3, unhealthy_for_sensitive_groups
89, 21, 40, 6, 4, moderate
44, 35, 57, 7, 3, moderate
74, 24, 60, 6, 3, moderate
59, 17, 69, 5, 3, moderate
50, 26, 40, 7, 3, good
62, 35, 39, 4, 3, moderate
75, 32, 44, 4, 3, moderate
67, 35, 38, 3, 3, moderate
88, 37, 35, 8, 4, moderate
95, 49, 67, 15, 3, moderate
114, 57, 77, 10, 4, unhealthy_for_sensitive_groups
111, 67, 94, 14, 5, unhealthy_for_sensitive_groups
126, 52, 88, 13, 6, unhealthy_for_sensitive_groups
79, 51, 78, 8, 3, moderate
87, 30, 46, 5, 3, moderate
71, 14, 52, 3, 3, moderate
42, 30, 55, 4, 3, moderate
90, 43, 85, 6, 3, moderate
107, 41, 53, 10, 3, unhealthy_for_sensitive_groups
65, 36, 61, 4, 3, moderate
91, 17, 54, 6, 3, moderate
1, 4, 19, 2, 1, good
8, 25, 23, 9, 6, good
66, 57, 19, 17, 8, moderate
118, 62, 25, 11, 6, unhealthy_for_sensitive_groups
66, 57, 23, 17, 11, moderate
103, 70, 14, 25, 13, unhealthy_for_sensitive_groups
134, 59, 23, 15, 7, unhealthy_for_sensitive_groups
62, 45, 28, 11, 5, moderate
59, 18, 26, 2, 4, moderate
33, 31, 26, 9, 6, good
74, 26, 28, 7, 5, moderate
73, 30, 27, 10, 7, moderate
81, 40, 25, 10, 6, moderate
115, 49, 34, 8, 7, unhealthy_for_sensitive_groups
56, 63, 36, 13, 7, moderate
64, 55, 26, 9, 6, moderate
49, 51, 26, 7, 5, moderate
59, 60, 26, 6, 5, moderate
57, 63, 34, 7, 7, moderate
49, 56, 31, 8, 8, moderate
55, 40, 31, 3, 6, moderate
78, 60, 33, 5, 8, moderate
129, 36, 31, 4, 5, unhealthy_for_sensitive_groups
79, 27, 34, 3, 4, moderate
41, 38, 28, 9, 4, good
45, 46, 35, 8, 4, good
81, 50, 39, 9, 5, moderate
103, 77, 40, 11, 5, unhealthy_for_sensitive_groups
158, 93, 41, 15, 8, unhealthy
153, 36, 36, 4, 3, unhealthy
36, 29, 35, 9, 5, good
64, 52, 41, 8, 3, moderate
98, 59, 39, 8, 2, moderate
97, 65, 32, 12, 4, moderate
128, 31, 34, 3, 3, unhealthy_for_sensitive_groups
33, 33, 37, 5, 4, good
59, 31, 35, 5, 2, moderate
79, 34, 35, 6, 2, moderate
49, 41, 34, 6, 4, good
58, 40, 37, 9, 4, moderate
63, 40, 30, 12, 4, moderate
73, 31, 37, 6, 3, moderate
53, 36, 34, 9, 5, moderate
65, 59, 31, 20, 5, moderate
109, 88, 41, 27, 5, unhealthy_for_sensitive_groups
145, 54, 32, 13, 3, unhealthy_for_sensitive_groups
79, 53, 57, 12, 5, moderate
99, 55, 46, 10, 4, moderate
82, 58, 31, 8, 3, moderate
74, 26, 34, 5, 3, moderate
43, 39, 31, 11, 3, good
67, 29, 26, 14, 2, moderate
62, 52, 38, 9, 4, moderate
94, 39, 33, 7, 3, moderate
46, 43, 28, 14, 4, good
80, 75, 32, 24, 8, moderate
128, 84, 54, 15, 7, unhealthy_for_sensitive_groups
134, 93, 65, 20, 7, unhealthy_for_sensitive_groups
146, 74, 70, 13, 7, unhealthy_for_sensitive_groups
112, 63, 59, 12, 4, unhealthy_for_sensitive_groups
100, 75, 72, 11, 4, moderate
122, 65, 51, 12, 4, unhealthy_for_sensitive_groups
106, 47, 36, 12, 4, unhealthy_for_sensitive_groups
69, 70, 32, 22, 7, moderate
101, 52, 40, 7, 3, unhealthy_for_sensitive_groups
72, 59, 37, 12, 3, moderate
43, 37, 45, 4, 1, good
40, 25, 27, 3, 1, good
17, 29, 32, 7, 1, good
38, 35, 30, 14, 1, good
62, 18, 38, 9, 1, moderate
54, 32, 40, 11, 1, moderate
67, 40, 36, 10, 2, moderate
71, 34, 40, 8, 2, moderate
29, 20, 34, 3, 1, good
39, 21, 26, 7, 1, good
36, 44, 23, 17, 2, good
89, 55, 38, 18, 2, moderate
105, 34, 26, 14, 2, unhealthy_for_sensitive_groups
58, 44, 39, 16, 2, moderate
72, 17, 36, 2, 1, moderate
27, 48, 37, 15, 3, good
82, 54, 38, 20, 3, moderate
98, 66, 61, 22, 2, moderate
136, 82, 62, 23, 2, unhealthy_for_sensitive_groups
152, 54, 44, 11, 2, unhealthy
79, 42, 44, 6, 2, moderate
67, 23, 40, 9, 2, moderate
54, 64, 52, 22, 4, moderate
120, 58, 43, 18, 3, unhealthy_for_sensitive_groups
105, 55, 52, 16, 3, unhealthy_for_sensitive_groups
107, 64, 56, 18, 3, unhealthy_for_sensitive_groups
119, 49, 28, 6, 2, unhealthy_for_sensitive_groups
21, 39, 27, 13, 3, good
55, 49, 35, 14, 4, moderate
94, 95, 35, 29, 6, moderate
166, 96, 70, 23, 5, unhealthy
171, 33, 29, 7, 2, unhealthy
43, 28, 27, 10, 3, good
61, 51, 37, 14, 4, moderate
95, 36, 43, 7, 2, moderate
70, 69, 58, 16, 5, moderate
141, 48, 26, 11, 3, unhealthy_for_sensitive_groups
55, 37, 33, 10, 2, moderate
54, 38, 32, 6, 1, moderate
39, 50, 28, 12, 5, good
78, 75, 30, 18, 6, moderate
126, 35, 23, 8, 4, unhealthy_for_sensitive_groups
29, 37, 25, 13, 4, good
59, 32, 25, 13, 4, moderate
64, 55, 29, 14, 3, moderate
106, 20, 25, 3, 3, unhealthy_for_sensitive_groups
34, 40, 24, 12, 5, good
82, 57, 24, 16, 7, moderate
118, 57, 33, 14, 5, unhealthy_for_sensitive_groups
126, 81, 22, 17, 5, unhealthy_for_sensitive_groups
101, 35, 18, 11, 5, unhealthy_for_sensitive_groups
54, 34, 21, 10, 5, moderate
55, 67, 23, 18, 9, moderate
125, 58, 24, 20, 6, unhealthy_for_sensitive_groups
106, 39, 30, 12, 6, unhealthy_for_sensitive_groups
79, 66, 37, 13, 5, moderate
129, 41, 29, 4, 3, unhealthy_for_sensitive_groups
27, 24, 23, 7, 4, good
51, 56, 17, 19, 10, moderate
109, 67, 23, 18, 8, unhealthy_for_sensitive_groups
133, 100, 22, 22, 6, unhealthy_for_sensitive_groups
176, 21, 21, 9, 5, unhealthy
47, 38, 20, 12, 7, good
71, 71, 22, 21, 11, moderate
143, 57, 22, 19, 8, unhealthy_for_sensitive_groups
108, 32, 19, 10, 6, unhealthy_for_sensitive_groups
71, 67, 19, 18, 9, moderate
124, 60, 28, 15, 7, unhealthy_for_sensitive_groups
98, 23, 24, 3, 3, moderate
28, 24, 21, 11, 4, good
72, 37, 23, 13, 5, moderate
89, 44, 18, 19, 9, moderate
108, 60, 26, 19, 8, unhealthy_for_sensitive_groups
131, 40, 24, 8, 6, unhealthy_for_sensitive_groups
63, 40, 23, 13, 7, moderate
74, 66, 18, 20, 11, moderate
124, 35, 26, 7, 4, unhealthy_for_sensitive_groups
54, 71, 19, 22, 10, moderate
124, 63, 21, 20, 9, unhealthy_for_sensitive_groups
128, 84, 23, 26, 12, unhealthy_for_sensitive_groups
163, 88, 22, 30, 10, unhealthy
163, 62, 30, 18, 8, unhealthy
100, 42, 28, 15, 7, moderate
71, 34, 27, 8, 7, moderate
58, 50, 26, 12, 8, moderate
101, 52, 29, 13, 5, unhealthy_for_sensitive_groups
120, 83, 26, 18, 5, unhealthy_for_sensitive_groups
167, 67, 23, 14, 8, unhealthy
148, 100, 16, 25, 9, unhealthy_for_sensitive_groups
162, 82, 20, 20, 11, unhealthy
59, 21, 36, 4, 3, moderate
64, 29, 41, 6, 4, moderate
82, 48, 58, 7, 4, moderate
112, 37, 65, 6, 4, unhealthy_for_sensitive_groups
95, 45, 69, 7, 3, moderate
109, 20, 48, 4, 3, unhealthy_for_sensitive_groups
59, 38, 65, 5, 4, moderate
114, 38, 45, 5, 3, unhealthy_for_sensitive_groups
89, 37, 74, 6, 4, moderate
96, 55, 106, 7, 5, unhealthy_for_sensitive_groups
112, 46, 77, 4, 3, unhealthy_for_sensitive_groups
116, 49, 79, 4, 4, unhealthy_for_sensitive_groups
118, 40, 58, 5, 4, unhealthy_for_sensitive_groups
86, 23, 37, 5, 3, moderate
44, 15, 35, 6, 3, good
51, 35, 46, 4, 4, moderate
108, 54, 63, 4, 3, unhealthy_for_sensitive_groups
143, 50, 51, 7, 4, unhealthy_for_sensitive_groups
110, 36, 53, 3, 4, unhealthy_for_sensitive_groups
68, 44, 52, 5, 3, moderate
106, 49, 85, 5, 3, unhealthy_for_sensitive_groups
116, 48, 72, 5, 3, unhealthy_for_sensitive_groups
93, 39, 65, 6, 3, moderate
92, 44, 58, 8, 4, moderate
94, 44, 69, 11, 5, moderate
53, 25, 43, 5, 3, moderate
75, 29, 63, 6, 4, moderate
67, 57, 76, 14, 5, moderate
96, 42, 55, 9, 4, moderate
86, 37, 35, 6, 4, moderate
69, 21, 18, 4, 3, moderate
38, 26, 17, 4, 3, good
59, 28, 24, 3, 4, moderate
66, 29, 34, 4, 4, moderate
84, 22, 39, 3, 3, moderate
47, 26, 59, 4, 4, moderate
71, 42, 79, 5, 4, moderate
101, 39, 89, 7, 5, unhealthy_for_sensitive_groups
84, 40, 74, 6, 5, moderate
90, 42, 71, 5, 5, moderate
102, 45, 81, 6, 5, unhealthy_for_sensitive_groups
109, 43, 44, 4, 4, unhealthy_for_sensitive_groups
112, 16, 42, 4, 4, unhealthy_for_sensitive_groups
43, 11, 33, 2, 3, good
17, 23, 41, 6, 4, good
56, 18, 51, 7, 5, moderate
63, 33, 70, 6, 5, moderate
96, 34, 52, 6, 4, moderate
87, 11, 46, 3, 4, moderate
22, 17, 39, 5, 4, good
41, 17, 39, 2, 4, good
56, 19, 29, 2, 4, moderate
43, 17, 47, 3, 5, good
48, 40, 27, 12, 5, good
60, 36, 42, 9, 5, moderate
52, 39, 53, 8, 5, moderate
62, 19, 53, 5, 4, moderate
40, 27, 33, 6, 4, good
35, 35, 49, 11, 5, good
64, 37, 81, 11, 4, moderate
82, 46, 86, 10, 5, moderate
84, 56, 110, 11, 5, unhealthy_for_sensitive_groups
119, 49, 67, 11, 5, unhealthy_for_sensitive_groups
82, 36, 50, 6, 5, moderate
62, 28, 51, 4, 5, moderate
62, 25, 33, 5, 5, moderate
102, 38, 45, 10, 2, unhealthy_for_sensitive_groups
52, 54, 72, 13, 1, moderate
96, 43, 79, 10, 1, moderate
67, 40, 71, 11, 1, moderate
70, 40, 45, 12, 1, moderate
61, 39, 50, 11, 1, moderate
66, 57, 71, 12, 2, moderate
104, 77, 100, 11, 2, unhealthy_for_sensitive_groups
125, 39, 35, 11, 1, unhealthy_for_sensitive_groups
32, 42, 65, 8, 2, moderate
53, 48, 78, 7, 1, moderate
91, 79, 71, 11, 2, moderate
85, 55, 62, 7, 1, moderate
101, 45, 52, 7, 1, unhealthy_for_sensitive_groups
87, 43, 65, 6, 1, moderate
99, 31, 32, 6, 1, moderate
32, 33, 29, 14, 1, good
39, 35, 56, 10, 1, moderate
56, 55, 59, 9, 2, moderate
90, 15, 44, 5, 1, moderate
175, 102, 55, 22, 5, unhealthy
165, 74, 67, 13, 7, unhealthy
149, 82, 71, 10, 4, unhealthy_for_sensitive_groups
140, 36, 46, 9, 1, unhealthy_for_sensitive_groups
83, 42, 45, 7, 2, moderate
100, 62, 39, 10, 1, moderate
141, 61, 36, 10, 2, unhealthy_for_sensitive_groups
133, 63, 34, 9, 2, unhealthy_for_sensitive_groups
54, 67, 33, 22, 6, moderate
106, 76, 45, 18, 6, unhealthy_for_sensitive_groups
107, 82, 66, 16, 5, unhealthy_for_sensitive_groups
120, 100, 62, 13, 6, unhealthy_for_sensitive_groups
157, 65, 59, 10, 3, unhealthy
119, 70, 62, 10, 3, unhealthy_for_sensitive_groups
123, 83, 69, 14, 3, unhealthy_for_sensitive_groups
147, 60, 62, 10, 2, unhealthy_for_sensitive_groups
101, 63, 40, 8, 1, unhealthy_for_sensitive_groups
76, 81, 40, 15, 2, moderate
70, 61, 67, 13, 2, moderate
110, 61, 53, 9, 1, unhealthy_for_sensitive_groups
88, 64, 81, 15, 3, moderate
100, 59, 91, 5, 2, moderate
92, 65, 92, 6, 1, moderate
84, 54, 42, 15, 5, moderate
88, 53, 37, 14, 5, moderate
60, 61, 44, 14, 6, moderate
91, 71, 63, 18, 7, moderate
121, 106, 69, 13, 6, unhealthy_for_sensitive_groups
121, 85, 36, 12, 2, unhealthy_for_sensitive_groups
82, 77, 57, 6, 3, moderate
101, 44, 55, 3, 2, unhealthy_for_sensitive_groups
82, 53, 47, 5, 2, moderate
103, 92, 40, 4, 2, unhealthy_for_sensitive_groups
91, 103, 52, 7, 4, unhealthy_for_sensitive_groups
94, 106, 60, 12, 7, unhealthy_for_sensitive_groups
141, 124, 63, 10, 6, unhealthy_for_sensitive_groups
154, 25, 49, 4, 1, unhealthy
51, 41, 52, 5, 4, moderate
90, 74, 78, 8, 4, moderate
126, 176, 50, 6, 2, unhealthy
130, 101, 50, 7, 2, unhealthy_for_sensitive_groups
119, 50, 35, 10, 2, unhealthy_for_sensitive_groups
49, 40, 39, 10, 3, good
148, 53, 49, 9, 3, unhealthy_for_sensitive_groups
92, 63, 88, 7, 4, moderate
142, 64, 98, 7, 3, unhealthy_for_sensitive_groups
118, 50, 79, 5, 2, unhealthy_for_sensitive_groups
78, 33, 47, 4, 1, moderate
57, 41, 44, 4, 2, moderate
78, 40, 41, 4, 1, moderate
80, 26, 48, 5, 1, moderate
48, 47, 92, 13, 5, moderate
73, 56, 58, 11, 3, moderate
61, 48, 49, 12, 2, moderate
53, 52, 102, 7, 4, unhealthy_for_sensitive_groups
82, 73, 132, 9, 4, unhealthy_for_sensitive_groups
145, 76, 98, 11, 3, unhealthy_for_sensitive_groups
146, 64, 84, 11, 3, unhealthy_for_sensitive_groups
107, 39, 49, 6, 2, unhealthy_for_sensitive_groups
82, 37, 67, 6, 2, moderate
60, 50, 40, 13, 3, moderate
57, 24, 45, 7, 2, moderate
40, 39, 81, 11, 2, moderate
73, 30, 55, 7, 2, moderate
49, 23, 53, 6, 2, moderate
51, 36, 82, 12, 2, moderate
61, 59, 104, 8, 3, unhealthy_for_sensitive_groups
66, 56, 132, 8, 4, unhealthy_for_sensitive_groups
93, 64, 88, 8, 3, moderate
66, 52, 60, 15, 3, moderate
67, 50, 50, 14, 4, moderate
84, 47, 69, 11, 3, moderate
75, 51, 91, 9, 6, moderate
89, 68, 143, 10, 5, unhealthy_for_sensitive_groups
154, 95, 150, 12, 8, unhealthy
173, 76, 132, 9, 4, unhealthy
134, 46, 76, 6, 2, unhealthy_for_sensitive_groups
84, 34, 56, 3, 2, moderate
84, 34, 62, 5, 3, moderate
94, 41, 72, 5, 5, moderate
94, 21, 47, 4, 4, moderate
49, 20, 38, 5, 4, good
55, 22, 34, 6, 4, moderate
68, 36, 82, 9, 5, moderate
83, 57, 103, 13, 6, unhealthy_for_sensitive_groups
109, 44, 65, 9, 5, unhealthy_for_sensitive_groups
85, 36, 47, 6, 5, moderate
79, 56, 84, 4, 4, moderate
78, 27, 63, 3, 3, moderate
234, 107, 44, 26, 13, very_unhealthy
201, 114, 33, 23, 12, very_unhealthy
198, 38, 30, 14, 8, unhealthy
76, 51, 27, 24, 11, moderate
103, 59, 22, 24, 9, unhealthy_for_sensitive_groups
100, 44, 26, 14, 7, moderate
94, 50, 25, 13, 10, moderate
99, 86, 28, 21, 10, moderate
150, 42, 30, 11, 7, unhealthy_for_sensitive_groups
83, 36, 28, 8, 6, moderate
43, 18, 26, 9, 5, good
50, 58, 20, 22, 10, moderate
126, 77, 18, 21, 11, unhealthy_for_sensitive_groups
168, 88, 32, 21, 11, unhealthy
176, 91, 22, 23, 13, unhealthy
176, 30, 32, 4, 6, unhealthy
45, 48, 29, 10, 10, good
95, 25, 32, 2, 4, moderate
48, 30, 32, 10, 8, good
83, 47, 30, 14, 9, moderate
118, 75, 38, 14, 11, unhealthy_for_sensitive_groups
164, 76, 40, 10, 7, unhealthy
167, 52, 31, 5, 7, unhealthy
60, 51, 29, 7, 8, moderate
124, 41, 31, 6, 5, unhealthy_for_sensitive_groups
93, 24, 32, 2, 4, moderate
27, 28, 30, 8, 8, good
75, 25, 33, 5, 5, moderate
33, 46, 33, 12, 10, good
104, 85, 45, 16, 16, unhealthy_for_sensitive_groups
175, 74, 32, 19, 6, unhealthy
170, 109, 35, 18, 11, unhealthy
191, 29, 35, 6, 6, unhealthy
41, 36, 34, 7, 6, good
79, 34, 36, 3, 6, moderate
60, 35, 36, 3, 6, moderate
45, 39, 35, 4, 6, good
47, 51, 35, 11, 10, moderate
88, 58, 33, 11, 8, moderate
127, 70, 35, 12, 11, unhealthy_for_sensitive_groups
147, 64, 35, 16, 8, unhealthy_for_sensitive_groups
143, 61, 57, 9, 8, unhealthy_for_sensitive_groups
137, 71, 44, 12, 6, unhealthy_for_sensitive_groups
149, 28, 34, 6, 5, unhealthy_for_sensitive_groups
31, 58, 32, 15, 11, moderate
113, 61, 36, 11, 6, unhealthy_for_sensitive_groups
123, 61, 37, 4, 4, unhealthy_for_sensitive_groups
52, 32, 37, 5, 5, moderate
60, 31, 35, 10, 5, moderate
84, 26, 38, 6, 5, moderate
91, 51, 43, 16, 12, moderate
120, 56, 27, 19, 8, unhealthy_for_sensitive_groups
113, 50, 31, 18, 8, unhealthy_for_sensitive_groups
109, 48, 38, 9, 6, unhealthy_for_sensitive_groups
112, 76, 56, 13, 3, unhealthy_for_sensitive_groups
165, 65, 37, 7, 1, unhealthy
101, 53, 35, 12, 6, unhealthy_for_sensitive_groups
68, 65, 43, 13, 5, moderate
141, 87, 36, 18, 5, unhealthy_for_sensitive_groups
172, 65, 41, 11, 2, unhealthy
118, 55, 37, 15, 7, unhealthy_for_sensitive_groups
93, 42, 37, 4, 2, moderate
49, 52, 32, 13, 5, moderate
74, 67, 29, 20, 9, moderate
114, 67, 46, 16, 9, unhealthy_for_sensitive_groups
129, 85, 78, 9, 6, unhealthy_for_sensitive_groups
169, 61, 51, 7, 2, unhealthy
107, 49, 42, 8, 2, unhealthy_for_sensitive_groups
57, 46, 41, 13, 7, moderate
82, 60, 48, 17, 10, moderate
127, 66, 53, 10, 7, unhealthy_for_sensitive_groups
148, 68, 64, 10, 5, unhealthy_for_sensitive_groups
137, 68, 47, 13, 6, unhealthy_for_sensitive_groups
136, 103, 68, 21, 10, unhealthy_for_sensitive_groups
181, 101, 45, 24, 11, unhealthy
170, 49, 37, 8, 5, unhealthy
54, 61, 40, 13, 8, moderate
103, 56, 45, 11, 5, unhealthy_for_sensitive_groups
111, 62, 49, 14, 6, unhealthy_for_sensitive_groups
126, 57, 41, 12, 4, unhealthy_for_sensitive_groups
133, 74, 40, 16, 6, unhealthy_for_sensitive_groups
163, 64, 35, 17, 6, unhealthy
122, 55, 39, 18, 5, unhealthy_for_sensitive_groups
121, 56, 45, 13, 2, unhealthy_for_sensitive_groups
132, 69, 37, 14, 4, unhealthy_for_sensitive_groups
160, 64, 48, 12, 3, unhealthy
112, 88, 60, 22, 7, unhealthy_for_sensitive_groups
48, 38, 29, 9, 5, good
64, 44, 32, 11, 5, moderate
34, 52, 29, 11, 5, moderate
36, 41, 24, 9, 5, good
38, 21, 25, 5, 4, good
28, 32, 25, 12, 5, good
40, 34, 22, 8, 5, good
23, 31, 20, 11, 5, good
19, 45, 23, 15, 5, good
43, 72, 30, 21, 7, moderate
144, 55, 22, 13, 5, unhealthy_for_sensitive_groups
87, 48, 33, 10, 5, moderate
90, 87, 41, 15, 8, moderate
158, 71, 36, 13, 6, unhealthy
120, 54, 29, 13, 5, unhealthy_for_sensitive_groups
89, 61, 37, 13, 6, moderate
122, 62, 28, 17, 7, unhealthy_for_sensitive_groups
101, 73, 41, 12, 5, unhealthy_for_sensitive_groups
130, 77, 35, 13, 5, unhealthy_for_sensitive_groups
